,Q64,Q65,Q81,Q71,Q1,Q72,Q73,Q74,Q75,Q86,Q87,Q88,Q76,Q77,Q78,Q84,Q84_1_TEXT,Q2,Q3,Q4,Q5,Q7,Q8,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q17,Q18,Q19,Q20,Q21,Q23,Q64.1,Q65.1,Q66,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Q69_6,Q69_7,Q69_8,Q69_9,Q69_10,Q69_11,Q69_12,Q69_13,Q69_14,Q69_15,Q69_16,Q69_17,Q69_18,Q69_19,Q69_20,Duration (in seconds),Attention_score
0,I consent,I am between the ages of 18-25.,25.0,1999-02-02,Cisgender Male,White,Yes,Yes - Full time,Junior,No,No,Yes,Yes,"[{""Sport"": ""Football"", ""Years"": 1, ""Position"": ""NaN""}]",White,No,,,,,,Once or twice a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Sometimes,Often,Often,Almost never,Often,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Often,Often,Always,Sometimes,Almost never,Sometimes,Often,Almost never,Sometimes,148,3
1,I consent,I am between the ages of 18-25.,23.0,2000-09-15,Cisgender Female,Biracial (specify below):,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Swim Team"", ""Years"": 2, ""Position"": ""NaN""}]",Biracial,No,,,,,,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Sometimes,Often,Often,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,287,3
2,I consent,I am between the ages of 18-25.,25.0,1999-01-01,Cisgender Female,Asian,Yes,Yes - Part time,Senior,No,No,No,Yes,"[{""Sport"": ""Basketball"", ""Years"": 1, ""Position"": ""Center""}]",Asian,No,,10:00 PM,30 Minutes,8:00 AM,7.0 Hours,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Three or more times a week,Less than once a week,Once or twice a week,Not during the past month,Often,Sometimes,Almost never,Sometimes,Almost never,Often,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,360,3
3,I consent,I am between the ages of 18-25.,25.0,1998-09-29,Cisgender Male,Asian,Yes,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Basketball"", ""Years"": 3, ""Position"": ""Shooting Guard""}]",Asian,No,,12:00 AM,60 Minutes,9:30 AM,7.5 Hours,Not during the past month,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Sometimes,Almost never,Sometimes,Often,Often,Sometimes,Almost never,Almost never,Sometimes,Often,Almost never,Sometimes,Always,Almost never,Always,Always,Always,Often,Sometimes,Sometimes,363,3
4,I consent,I am between the ages of 18-25.,22.0,2002-01-09,Cisgender Male,Latino/Hispanic,Yes,No,,No,No,Yes,Yes,"[{""Sport"": ""Soccer"", ""Years"": 2, ""Position"": ""Centerback""}]",Latino/Hispanic,No,,11:00 PM,15 Minutes,10:00 AM,9.0 Hours,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Always,Always,Often,Sometimes,Almost never,Always,Always,Always,Sometimes,Almost never,Almost never,Sometimes,Often,509,3
5,I consent,I am between the ages of 18-25.,24.0,2000-02-15,Cisgender Male,Native American or Alaskan,Yes,Yes - Part time,Sophomore,No,No,No,Yes,"[{""Sport"": ""Football"", ""Years"": 3, ""Position"": ""Linebacker""}]",Native American or Alaskan,No,,1:00 AM,20 Minutes,9:30 AM,7.5 Hours,Once or twice a week,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Often,441,3
6,I consent,I am between the ages of 18-25.,25.0,1999-01-01,Cisgender Female,White,Yes,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 3, ""Position"": ""Midfielder""}]",White,No,,12:00 PM,30 Minutes,9:30 AM,9.0 Hours,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,Yes,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Sometimes,Almost never,Almost never,Often,Often,Sometimes,Almost never,Almost never,Sometimes,Often,Almost never,Almost never,Often,Almost never,Sometimes,Almost never,Often,Always,Often,Almost never,558,3
7,I consent,I am between the ages of 18-25.,26.0,1998-12-13,Cisgender Male,White,Yes,Yes - Part time,Senior,No,No,Yes,Yes,"[{""Sport"": ""Tennis"", ""Years"": 1, ""Position"": ""NaN""}]",White,No,,11:00 PM,45 Minutes,8:00 AM,6.5 Hours,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Always,Almost never,Almost never,Always,Always,Almost never,Almost never,Always,Always,Always,Almost never,448,3
8,I consent,I am between the ages of 18-25.,19.0,2004-08-27,Cisgender Male,White,Yes,Yes - Full time,Sophomore,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 0, ""Position"": ""NaN""}]",White,No,,1:00 AM,34 Minutes,8:00 AM,4.0 Hours,Less than once a week,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,201,2
9,I consent,I am between the ages of 18-25.,21.0,2002-10-23,Cisgender Male,Asian,Yes,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 1, ""Position"": ""Defensive""}]",Asian,No,,12:00 AM,45 Minutes,9:00 AM,8.0 Hours,Once or twice a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Only a very slight problem,No,,,,,Always,Sometimes,Sometimes,Almost never,Often,Always,Sometimes,Sometimes,Almost never,Often,Often,Almost never,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Almost never,Sometimes,240,3
