,Unnamed: 0.1,Unnamed: 0,Q64,Q65,Q81,Q71,Q1,Q72,Q73,Q74,Q75,Q86,Q87,Q88,QID91,Q76,Q77,Q78,Q84,Q84_1_TEXT,Q89,Q2,Q3,Q4,Q5,Q7,Q8,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q17,Q18,Q19,Q20,Q21,Q23,Q64.1,Q65.1,Q66,Q90,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Q69_6,Q69_7,Q69_8,Q69_9,Q69_10,Q69_11,Q69_12,Q69_13,Q69_14,Q69_15,Q69_16,Q69_17,Q69_18,Q69_19,Q69_20,Duration (in seconds)
0,0,0,,I am between the ages of 18-25.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,58
1,1,1,,I am between the ages of 18-25.,,,Cisgender Male,,Yes,Yes - Full time,Junior,,,,,,hihouhouy gouhoihui huihoih houhouhoihoih hihoihoih iohoihoihio ihoihoih oihoihoih ihoihoih,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,94
2,2,2,,I am between the ages of 18-25.,23.0,2004-09-07,Cisgender Female,White,Yes,3,Senior,No,No,No,,Yes,none nada zip!,White,No,,,10:00 PM,30,8 AM,7,Less than once a week,Once or twice a week,Once or twice a week,Less than once a week,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly good,Three or more times a week,Not during the past month,Only a very slight problem,No,,,,,,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Sometimes,280
3,3,3,,I am between the ages of 18-25.,21.0,2003-01-17,Cisgender Female,White,Yes,Yes - Full time,Senior,No,Yes,Yes,,Yes,"field hockey (forward, all 4) lacrosse (attack, 2 years)",White,Yes,1,,12am,60,9:30,7-8 hours,Once or twice a week,Three or more times a week,Once or twice a week,Three or more times a week,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,No,,,,,,Always,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Almost never,Always,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,390
4,4,4,,I am between the ages of 18-25.,21.0,2002-12-09,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,,Yes,Cross country and track all 4 years ,White,No,,,11pm,15 mins,10am,9 hours ,Less than once a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,No,,,,,,Always,Always,Often,Often,Always,Often,Often,Always,Always,Often,Always,Often,Often,Always,Always,Always,Always,Often,Often,Often,288
5,5,5,I consent,I am between the ages of 18-25.,21.0,2002-01-03,Cisgender Female,White,Yes,Yes - Full time,Senior,Yes,Yes,Yes,,No,,White,Yes,1,,1,20,9:30,7.5,Less than once a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Almost never,Often,Always,Often,Sometimes,Sometimes,Sometimes,817
6,6,6,I consent,I am between the ages of 18-25.,20.0,2003-01-04,Cisgender Female,Asian,Yes,Yes - Full time,Junior,No,No,Yes,,Yes,Soccer 1 season Track: 3 years,Asian,No,,,12 PM,30 mins,9:30AM,9,Once or twice a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,,Always,Often,Often,Sometimes,Almost never,Always,Often,Always,Always,Often,Always,Often,Often,Almost never,Often,Always,Sometimes,Almost never,Sometimes,Often,480
7,7,7,I consent,I am between the ages of 18-25.,21.0,2002-05-16,Cisgender Female,Hispanic Black,Yes,Yes - Full time,Senior,No,No,No,,No,,Hispanic Black,No,,,11pm,30mins-1hr,8am,6-7hrs,Three or more times a week,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Three or more times a week,Once or twice a week,Once or twice a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,,Sometimes,Often,Often,Often,Sometimes,Often,,,,,,,,,,,,,,,227
8,8,8,I consent,I am between the ages of 18-25.,23.0,1995-09-07,Agender,White,Yes,3,Senior,No,Yes,No,,Yes,"football 5 years, soccer 3 years",White,Yes,2,,1 AM,34,8 AM,4,Once or twice a week,Less than once a week,Once or twice a week,Once or twice a week,Three or more times a week,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Very bad,Once or twice a week,Less than once a week,Only a very slight problem,Yes,Less than once a week,Less than once a week,Less than once a week,Less than once a week,,Always,Often,Often,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Always,Always,Always,Almost never,Always,,Sometimes,Always,Often,Often,353
9,9,9,I consent,I am between the ages of 18-25.,25.0,1999-02-02,Cisgender Male,White,Yes,Yes - Full time,Junior,No,No,Yes,True,Yes,football 1 year,White,No,,True,12 am,45,9 am,8,Once or twice a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Often,Often,Almost never,Often,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Often,Often,Always,Sometimes,Almost never,Sometimes,Often,Almost never,Sometimes,148
10,10,10,I consent,I am between the ages of 18-25.,23.0,2000-09-15,Cisgender Female,Biracial (specify below):,Yes,No,,No,No,No,True,Yes,"Swim Team, 2 years",Biracial,No,,True,1:00 AM,30 minutes,9:30 AM,8 hours,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Not during the past month,Less than once a week,Not during the past month,75 degrees or higher,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Sometimes,Often,Often,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,287
11,11,11,I consent,I am between the ages of 18-25.,25.0,1999-01-01,Cisgender Female,Asian,Yes,Yes - Part time,Senior,No,No,No,True,Yes,"Basketball, Center, 1 year",Asian,No,,True,11 pm,30 minutes,6:30 am,7 hours,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Three or more times a week,Less than once a week,Once or twice a week,Not during the past month,75 degrees or higher,Often,Sometimes,Almost never,Sometimes,Almost never,Often,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,360
12,12,12,I consent,I am between the ages of 18-25.,25.0,1998-09-29,Cisgender Male,Asian,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"Basketball, Shooting Guard, 3 years",Asian,No,,True,12:00 AM,15,8:30 AM,7,Not during the past month,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Sometimes,Almost never,Sometimes,Often,Often,Sometimes,Almost never,Almost never,Sometimes,Often,Almost never,Sometimes,Always,Almost never,Always,Always,Always,Often,Sometimes,Sometimes,363
13,13,13,I consent,I am between the ages of 18-25.,22.0,2002-01-09,Cisgender Male,Latino/Hispanic,Yes,No,,No,No,Yes,True,Yes,"Soccer , Centerback, 2 years",Latino/Hispanic,No,,True,2:00 am ,30 minutes,8:00 am ,5 on average ,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Always,Always,Often,Sometimes,Almost never,Always,Always,Always,Sometimes,Almost never,Almost never,Sometimes,Often,509
14,14,14,I consent,I am between the ages of 18-25.,24.0,2000-02-15,Cisgender Male,Native American or Alaskan,Yes,Yes - Part time,Sophomore,No,No,No,True,Yes,"Football, Linebacker, 3 years",Native American or Alaskan,No,,True,9pm,10,6 a.m.,8,Once or twice a week,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Often,441
